epoch,loss,vote_loss,objectness_loss,box_loss,sem_cls_loss,obj_acc,pos_ratio,neg_ratio,TP,FP,TN,FN,epoch_time_sec,estimated_finish_time_sec
1,130.77257228919274,10.915576473244348,0.05593747768925972,1.9295812156634315,1.2022458917327266,0.9041170061323353,0.04368495068759028,0.9467152800764324,235543,671287,7381843,136038,2216.2617623806,330230.72406482697
2,125.08747137287344,10.719845291967856,0.04874492103173848,1.5966350847588862,0.947769108289816,0.9351392880074956,0.045645128377768414,0.9448499610691502,267545,425239,7612061,120677,2155.3130543231964,348521.3221235275
3,121.65051805462238,10.480224321998538,0.04503333766226821,1.502997127788022,0.9176368458904093,0.9441465678757983,0.04348982625932836,0.947470505649675,258826,358983,7700519,111142,2154.237411260605,353274.10352635384
4,118.65365308927812,10.203830116347275,0.04498349955340432,1.478315544877422,0.9325265785464887,0.9466669630648484,0.04217849606553924,0.9489217141986639,244167,334231,7737694,114577,2213.706132888794,356416.03727924824
5,116.83524844665968,10.045825100255001,0.04477696384733285,1.4564056331628092,0.9174019066140694,0.9455012373902445,0.042414526096834375,0.9489104298943789,245779,343645,7728117,115031,2474.445318222046,364237.8428993225
6,115.9990080271883,9.915518425035545,0.04357209284581355,1.5036784337872087,0.9355975946928942,0.9489016341342338,0.040017316705284064,0.9518449367326673,227226,316944,7779834,113148,2417.5704851150513,369048.5162372589
7,114.69430662291981,9.778542641613079,0.04340217935462152,1.5102674827216391,0.938161943479117,0.9476772389362567,0.0395755832104598,0.9524391258801758,224689,328484,7773288,111976,2467.356711626053,372515.8290797983
8,113.65899292987645,9.703230849297276,0.04312191749521615,1.4831112354749891,0.9331339357360717,0.9485320078104117,0.04000756048387097,0.9519367392498195,229601,322400,7775098,110742,2471.772143602371,373701.89265841246
9,113.23046017749182,9.649986975458189,0.04306283311606293,1.493694008257622,0.9323936769479619,0.9480071234111896,0.03884668768054887,0.9531533283055489,220013,327111,7780754,110441,2469.0576469898224,373818.9097312291
10,112.44939240045598,9.57500669097579,0.04299980926775357,1.4920359502546938,0.9189698735954214,0.9480877911378743,0.038911689975024075,0.9531331105937049,221124,326967,7780723,109883,2418.5651824474335,372722.6616539955
11,112.90861443366693,9.588626803259007,0.04274636748451766,1.521445803390883,0.9529610257999336,0.9483685614572561,0.03813460106222918,0.9540657113249278,215560,325717,7789910,108834,2469.8934848308563,372269.8360300064
12,112.08123129035167,9.53165305728343,0.04211334792738372,1.4978343070442997,0.9440907685155184,0.9498586005526319,0.038051379318127104,0.9542854026239769,216601,314859,7802692,107037,2459.4243099689484,371508.9452867508
13,111.022335238909,9.439350771284126,0.04220712033728632,1.486172342334852,0.922961569841831,0.9494154724181703,0.03852120602882764,0.9537825458142754,220422,318396,7794865,107226,2469.9882464408875,370054.2612363008
14,110.50737329739243,9.386916150826357,0.041968416039225256,1.4871286946560938,0.927556327395733,0.9508077509425039,0.03819819281866875,0.9541717367672725,216956,306185,7810324,107991,2468.8182797431946,368641.45609678543
15,110.37340869912748,9.383366469758373,0.04196208802203849,1.4780840574116676,0.9196615182526937,0.9496613594707412,0.03866766689486038,0.9536665290608449,222002,316834,7795387,106930,2469.8168997764587,366813.59464144707
16,110.34005988556775,9.357906893864238,0.04238479466325046,1.4993512916576421,0.9197820721406689,0.9487595894644337,0.03872796739588349,0.9535371121960761,221480,323132,7788028,107939,2468.2022137641907,364893.3661878109
17,110.045545894823,9.310426615727424,0.04233034530750507,1.5154274319104408,0.9403984702129919,0.9477312725986147,0.037851435551576794,0.954551759223038,214653,332737,7787025,107328,2468.3744690418243,362831.2263318511
18,109.84360579728047,9.320031857570893,0.04139334983903095,1.4889595152726813,0.9258251107680321,0.9503827835139484,0.03765631112331488,0.954882177757884,214615,312013,7810539,105726,2480.3483402729034,361121.6545109749
19,109.59308720966573,9.264941940528013,0.04270503663452998,1.5160552222365993,0.9290148888750035,0.9471340694275968,0.03781241066592441,0.9544241055308137,212665,335886,7782820,108960,2471.444280385971,358977.7861136386
20,109.21486498153605,9.25139670057485,0.04167622677936117,1.493455216840993,0.9328214624393543,0.9498066409999038,0.03721798642874338,0.9552768933181873,210421,316333,7809580,106187,2478.436618566513,356891.35209333897
21,108.8470010238596,9.203809141251808,0.04151807364648532,1.5048506610027343,0.9300415650921253,0.9503276019097523,0.037248195451673086,0.9552787740355682,211238,312684,7813478,105411,2478.4883682727814,354979.2084547111
22,108.17833809354413,9.186892050645302,0.04083296358244575,1.4590071521243857,0.9026866760616068,0.9499424208111641,0.037868832187349544,0.9547537012518055,219312,318701,7802765,102830,2480.2342941761017,352746.3844604492
23,108.47043582161402,9.197042145520147,0.040449058687916144,1.4775465987425442,0.9155671026738836,0.9510488613586214,0.03702568307655272,0.9555577079321136,212337,309477,7818827,102633,2470.4979178905487,350287.9455581126
24,107.91128795331754,9.137970959560539,0.04139788379667611,1.4781577427713242,0.9220432558266888,0.9500624593858484,0.037551108494824265,0.9549491783145763,214540,315489,7807695,104859,2466.6302695274353,347870.22213721275
25,107.28304979602592,9.102909164010876,0.04126338213148581,1.4513144319626823,0.9155462088711743,0.9507422085903445,0.03774740837144921,0.954811063131921,216103,309789,7812328,104858,2480.09397816658,345687.36819148064
26,107.92225958558305,9.140518631622891,0.041717141546976214,1.476526077243073,0.917469811191281,0.949491534961435,0.037354691073363026,0.9549963137939336,211217,318610,7804927,106544,2420.6217381954193,343018.85593583033
